[10:53:37] [2J[HCONTAINER ID   NAME                                                                                                                   CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
[10:53:39] a358898e2b29   dev-peer1.org2.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     6.211MiB / 2GiB       0.30%     57.9MB / 17.6MB   6.66MB / 0B      12
[10:53:39] 04c27243e826   dev-peer2.org1.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     5.039MiB / 2GiB       0.25%     24.8MB / 8.16MB   4.34MB / 0B      12
[10:53:39] 4335f8b51d4a   dev-peer1.org2.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     5.297MiB / 2GiB       0.26%     24.8MB / 8.16MB   4.03MB / 0B      13
[10:53:39] 637e30ee7d33   dev-peer1.org3.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     5.02MiB / 2GiB        0.25%     24.8MB / 8.16MB   3.63MB / 0B      13
[10:53:39] 1665e3ea088a   dev-peer2.org2.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     4.836MiB / 2GiB       0.24%     24.8MB / 8.17MB   4.69MB / 0B      13
[10:53:39] 61b92085d757   dev-peer1.org1.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     5.121MiB / 2GiB       0.25%     24.8MB / 8.16MB   4.29MB / 0B      13
[10:53:39] 3782c13a9b5e   dev-peer2.org3.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     5.004MiB / 2GiB       0.24%     24.8MB / 8.16MB   3.83MB / 0B      13
[10:53:39] cad2d1e41032   network1                                                                                                               0.00%     85.87MiB / 15.49GiB   0.54%     199MB / 137MB     231MB / 444MB    1
[10:53:39] b69f0e2c3cb9   ca1.org3.digiprism.com                                                                                                 0.00%     3.875MiB / 15.49GiB   0.02%     17.4MB / 0B       254kB / 352kB    13
[10:53:39] 7840221811b8   ca1.org2.digiprism.com                                                                                                 0.28%     4.199MiB / 15.49GiB   0.03%     17.4MB / 0B       393kB / 352kB    13
[10:53:39] 34d9e03dfbc4   ca1.org1.digiprism.com                                                                                                 0.00%     5.906MiB / 15.49GiB   0.04%     17.4MB / 0B       18.7MB / 352kB   13
[10:53:39] 4902852ba51e   orderer3.digiprism.com                                                                                                 0.45%     37.9MiB / 15.49GiB    0.24%     1.53GB / 1.48GB   3.43MB / 128MB   15
[10:53:39] 488069fcea0c   orderer2.digiprism.com                                                                                                 0.93%     51.34MiB / 15.49GiB   0.32%     2.97GB / 3.06GB   17MB / 131MB     15
[10:53:39] f53c24dc9cb5   orderer1.digiprism.com                                                                                                 0.53%     39.87MiB / 15.49GiB   0.25%     1.54GB / 1.52GB   25.6MB / 128MB   15
[10:53:39] be8816fd5952   peer2.org3.digiprism.com                                                                                               3.91%     123.1MiB / 15.49GiB   0.78%     3.99GB / 3.94GB   15.5MB / 257MB   15
[10:53:39] 9c6f434b7202   peer1.org3.digiprism.com                                                                                               4.16%     121.4MiB / 15.49GiB   0.77%     3.96GB / 3.97GB   16.8MB / 258MB   15
[10:53:39] eb4ce43c7f5f   peer2.org2.digiprism.com                                                                                               3.86%     135.1MiB / 15.49GiB   0.85%     4.02GB / 3.96GB   19.9MB / 293MB   15
[10:53:39] b6587b37528a   peer1.org2.digiprism.com                                                                                               3.59%     129.6MiB / 15.49GiB   0.82%     4.03GB / 4.03GB   20.9MB / 295MB   15
[10:53:39] 4f8adb1d26bd   peer2.org1.digiprism.com                                                                                               7.28%     134.4MiB / 15.49GiB   0.85%     4.02GB / 4GB      20.5MB / 295MB   15
[10:53:39] 25c44cfbdce5   peer1.org1.digiprism.com                                                                                               9.16%     155MiB / 15.49GiB     0.98%     4.11GB / 4.98GB   68MB / 289MB     15
[10:53:39] c0dbbd337451   peer2.org3.digiprism.com.couchdb                                                                                       5.27%     111.3MiB / 15.49GiB   0.70%     52.7MB / 36.5MB   48.7MB / 839MB   35
[10:53:39] 52732ee477c4   peer1.org3.digiprism.com.couchdb                                                                                       5.80%     104.4MiB / 15.49GiB   0.66%     52.6MB / 36.5MB   47MB / 840MB     35
[10:53:39] 631a5cfd7bb5   peer2.org2.digiprism.com.couchdb                                                                                       5.23%     114.8MiB / 15.49GiB   0.72%     59.7MB / 43.8MB   53.9MB / 980MB   35
[10:53:39] f25f52e5571b   peer1.org2.digiprism.com.couchdb                                                                                       4.29%     115MiB / 15.49GiB     0.73%     59.8MB / 43.9MB   49.6MB / 979MB   35
[10:53:39] 8ca35365aa66   peer2.org1.digiprism.com.couchdb                                                                                       3.78%     109.9MiB / 15.49GiB   0.69%     59.8MB / 43.9MB   55.9MB / 982MB   35
